CardId,CardDescription,CardNumber,LowestBeckettPrice,HighestBeckettPrice,FrontCardMainImagePath,FrontCardThumbnailImagePath,BackCardMainImagePath,BackCardThumbnailImagePath,LowestComcprice,EbayPrice,PricePaid,IsGraded,Copies,SerialNumber,Grade,IsRookie,IsAutograph,IsPatch,IsOnCardAutograph,IsGameWornJersey,SportId,YearId,SetId,GradeCompanyId,LocationId,TimeStamp
6,Donruss,226,3.00,8.00,Donruss22619_front.JPG,Donruss22619_front_thumb.JPG,Donruss22619_back.JPG,Donruss22619_back_thumb.JPG,0.00,0.00,0.00,False,0,0,0.0,True,False,False,False,False,4,19,4,4,11,09/02/2022 12:46:39
7,Panini Chronicles Threads Purple,76,8.00,20.00,PaniniChroniclesThreadsPurple7618_front.JPG,PaniniChroniclesThreadsPurple7618_front_thumb.JPG,PaniniChroniclesThreadsPurple7618_back.JPG,PaniniChroniclesThreadsPurple7618_back_thumb.JPG,0.00,0.00,37.00,True,0,49,9.0,True,False,False,False,False,4,18,12,2,8,08/14/2022 13:27:28
8,Fleer Metal,181,100.00,250.00,FleerMetal1817_front.JPG,FleerMetal1817_front_thumb.JPG,FleerMetal1817_back.JPG,FleerMetal1817_back_thumb.JPG,0.00,0.00,165.00,True,0,0,9.0,True,False,False,False,False,4,7,6,3,8,08/14/2022 13:26:54
9,Panini,353,20.00,50.00,Panini35312_front.JPG,Panini35312_front_thumb.JPG,Panini35312_back.JPG,Panini35312_back_thumb.JPG,0.00,0.00,46.00,True,0,0,8.0,True,False,False,False,False,4,12,10,2,8,08/14/2022 13:26:04
10,Upper Desk,227,40.00,100.00,UpperDesk22712_front.JPG,UpperDesk22712_front_thumb.JPG,UpperDesk22712_back.JPG,UpperDesk22712_back_thumb.JPG,0.00,0.00,63.00,True,0,0,9.0,True,False,False,False,False,4,12,21,3,8,08/14/2022 13:25:33
11,Hoops Rookie Ink,RI-CST,15.00,40.00,HoopsRookieInkRICST19_front.JPG,HoopsRookieInkRICST19_front_thumb.JPG,HoopsRookieInkRICST19_back.JPG,HoopsRookieInkRICST19_back_thumb.JPG,0.00,0.00,0.00,False,0,0,0.0,True,True,False,False,False,4,19,8,4,9,08/14/2022 14:05:51
12,Hoops Legends of the Game,11,6.00,15.00,HoopsLegendsoftheGame1119_front.JPG,HoopsLegendsoftheGame1119_front_thumb.JPG,HoopsLegendsoftheGame1119_back.JPG,HoopsLegendsoftheGame1119_back_thumb.JPG,0.00,0.00,0.00,False,0,699,0.0,False,False,False,False,False,4,19,8,4,9,08/14/2022 14:06:49
13,Hoops Back Stage Pass,1,5.00,12.00,HoopsBackStagePass119_front.JPG,HoopsBackStagePass119_front_thumb.JPG,HoopsBackStagePass119_back.JPG,HoopsBackStagePass119_back_thumb.JPG,0.00,0.00,0.00,False,0,0,0.0,False,False,False,False,False,4,19,8,4,9,08/14/2022 14:58:08
14,Hoops Silver,87,1.00,2.00,HoopsSilver8719_front.JPG,HoopsSilver8719_front_thumb.JPG,HoopsSilver8719_back.JPG,HoopsSilver8719_back_thumb.JPG,0.00,0.00,0.00,False,0,199,0.0,False,False,False,False,False,4,19,8,4,9,08/14/2022 15:17:32
15,Hoops High Voltage,6,12.00,30.00,HoopsHighVoltage619_front.JPG,HoopsHighVoltage619_front_thumb.JPG,HoopsHighVoltage619_back.JPG,HoopsHighVoltage619_back_thumb.JPG,0.00,0.00,0.00,False,0,0,0.0,False,False,False,False,False,4,19,8,4,9,08/14/2022 15:16:59
16,Hoops,216,4.00,10.00,Hoops21619_front.JPG,Hoops21619_front_thumb.JPG,Hoops21619_back.JPG,Hoops21619_back_thumb.JPG,0.00,0.00,0.00,False,0,0,0.0,True,False,False,False,False,4,19,8,4,9,08/14/2022 14:05:15
