SetId,Name
2,Topps
3,Bowman
4,Donruss
5,Fleer
6,Fleer Metal
7,Fleer Ultra
8,Hoops
9,"Innovation "
10,Panini
11,Brilliance
12,Chronicles
13,Donruss Optic
14,Contenders
15,Mosaic
16,Prizm
17,Signatures
18,Prestige
19,Rookie Review
20,Select
21,Upper Deck
22,Upper Deck Victory
23,Spectra
24,Intrigue
25,SP
26,Elite
27,Season Update
28,Totally Certified
29,Luxe
30,Noir
31,SkyBox
32,Encased
33,Aficionado
35,National Treasures
36,Court Kings
37,Status
38,Pinnacle
39,Limited
40,Dominion
41,Crown Royale
42,Certified
1039,Panini Kobe Anthology
1040,Panini Stickers Cards
1041,Chronicles Draft Picks
2041,Cornerstones
