TeamId,City,Name
2,Miami,Heat
3,Atlanta,Hawks
4,Boston,Celtics
5,Brooklyn,Nets
6,Charlotte,Hornets
7,Chicago,Bulls
8,Cleveland,Cavaliers
9,Dallas,Mavericks
10,Denver,Nuggets
11,Detroit,Pistons
12,Golden State,Warriors
13,Houston,Rockets
14,Indiana,Pacers
15,Los Angeles,Clippers
16,Los Angeles,Lakers
17,Memphis,Grizzlies
18,Milwaukee,Bucks
19,Minnesota,Timberwolves
20,New Orleans,Pelicans
21,New York,Knicks
22,Oklahoma City,Thunder
23,Orlando,Magic
24,Philadelphia,76ers
25,Phoenix,Suns
26,Portland,Trail Blazers
27,Sacramento,Kings
28,San Antonio,Spurs
29,Toronto,Raptors
30,Utah,Jazz
31,Washington,Wizards
32,Chicago,White Sox
33,New Jersey,Nets
34,Seattle,Supersonics
35,Boston,Red Sox
36,Pittsburgh,Pirates
37,New Orleans,Hornets
1039,None,Draft Picks
