Location,Set,Players,CardDescription,CardNumber,FrontCardMainImagePath,FrontCardThumbnailImagePath,BackCardMainImagePath,BackCardThumbnailImagePath,Year
Basketball 11,Donruss,James Wiseman,Donruss,226,Donruss22619_front.JPG,Donruss22619_front_thumb.JPG,Donruss22619_back.JPG,Donruss22619_back.JPG,2020-2021
Basketball 2,Brilliance,Dwayne Wade,Brilliance Scorers Inc.,1,BrillianceScorersInc.JPG,BrillianceScorersInc_thumb.JPG,BrillianceScorersInc.JPG,BrillianceScorersInc.JPG,2012-2013
Basketball 2,Brilliance,Paul Pierce,Brilliance Scorers Inc.,3,BrillianceScorersInc.JPG,BrillianceScorersInc_thumb.JPG,BrillianceScorersInc.JPG,BrillianceScorersInc.JPG,2012-2013
Basketball 2,Brilliance,Damian Lillard,Brilliance Scorers Inc.,20,BrillianceScorersInc.JPG,BrillianceScorersInc_thumb.JPG,BrillianceScorersInc.JPG,BrillianceScorersInc.JPG,2012-2013
Basketball 3,Donruss,James Wiseman,Donruss,226,Donruss22619_front.JPG,Donruss22619_front_thumb.JPG,Donruss22619_back.JPG,Donruss22619_back.JPG,2020-2021
Basketball 10,Hoops,Jonathan Kuminga,Hoops,219,Hoops219_front.JPG,Hoops219_front_thumb.JPG,Hoops219_back.JPG,Hoops219_back.JPG,2021-2022
Basketball 10,Hoops,Cade Cunningham,Hoops,201,Hoops201_front.JPG,Hoops201_front_thumb.JPG,Hoops201_back.JPG,Hoops201_back.JPG,2021-2022
Basketball 10,Hoops,Jonathan Kuminga,Hoops,219,Hoops219_front.JPG,Hoops219_front_thumb.JPG,Hoops219_back.JPG,Hoops219_back.JPG,2021-2022
Basketball 10,Hoops,Cade Cunningham,Hoops,201,Hoops201_front.JPG,Hoops201_front_thumb.JPG,Hoops201_back.JPG,Hoops201_back.JPG,2021-2022
Basketball 10,Hoops,Cade Cunningham,Hoops,201,Hoops201_front.JPG,Hoops201_front_thumb.JPG,Hoops201_back.JPG,Hoops201_back.JPG,2021-2022
