Location,Set,Players,CardDescription,CardNumber,FrontCardMainImagePath,FrontCardThumbnailImagePath,BackCardMainImagePath,BackCardThumbnailImagePath,Year
Basketball 11,Donruss,James Wiseman,Donruss,226,Donruss226front.JPG,Donruss226front_thumb.JPG,Donruss226back.JPG,Donruss226back.JPG,2020-2021
Graded Basketball 1,Chronicles,Tyler Herro,Panini Chronicles Threads Purple,76,PaniniChroniclesThreadsPurple76front.JPG,PaniniChroniclesThreadsPurple76front_thumb.JPG,PaniniChroniclesThreadsPurple76back.JPG,PaniniChroniclesThreadsPurple76back.JPG,2019-2020
Graded Basketball 1,Fleer Metal,Kobe Bryant,Fleer Metal,181,FleerMetal181front.JPG,FleerMetal181front_thumb.JPG,FleerMetal181back.JPG,FleerMetal181back.JPG,1996-1997
Graded Basketball 1,Panini,James Harden,Panini,353,Panini353front.JPG,Panini353front_thumb.JPG,Panini353back.JPG,Panini353back.JPG,2009-2010
Graded Basketball 1,Upper Deck,James Harden,Upper Desk,227,UpperDesk227front.JPG,UpperDesk227front_thumb.JPG,UpperDesk227back.JPG,UpperDesk227back.JPG,2009-2010
Basketball 9,Hoops,Cassius Stanley,Hoops Rookie Ink,RI-CST,HoopsRookieInkRICSTfront.JPG,HoopsRookieInkRICSTfront_thumb.JPG,HoopsRookieInkRICSTback.JPG,HoopsRookieInkRICSTback.JPG,2020-2021
Basketball 9,Hoops,Magic Johnson,Hoops Legends of the Game,11,HoopsLegendsoftheGame11front.JPG,HoopsLegendsoftheGame11front_thumb.JPG,HoopsLegendsoftheGame11back.JPG,HoopsLegendsoftheGame11back.JPG,2020-2021
Basketball 9,Hoops,Luka Doncic,Hoops Back Stage Pass,1,HoopsBackStagePass1front.JPG,HoopsBackStagePass1front_thumb.JPG,HoopsBackStagePass1back.JPG,HoopsBackStagePass1back.JPG,2020-2021
Basketball 9,Hoops,Tristan Thompson,Hoops Silver,87,HoopsSilver87front.JPG,HoopsSilver87front_thumb.JPG,HoopsSilver87back.JPG,HoopsSilver87back.JPG,2020-2021
Basketball 9,Hoops,Giannis Antetokounmpo,Hoops High Voltage,6,HoopsHighVoltage6front.JPG,HoopsHighVoltage6front_thumb.JPG,HoopsHighVoltage6back.JPG,HoopsHighVoltage6back.JPG,2020-2021
Basketball 9,Hoops,Anthony Edwards,Hoops,216,Hoops216front.JPG,Hoops216front_thumb.JPG,Hoops216back.JPG,Hoops216back.JPG,2020-2021
Basketball 9,Prestige,Larry Bird,Prestige Franchise Favorites Checkerboard,16,PrestigeFranchiseFavoritesCheckerboard16front.JPG,PrestigeFranchiseFavoritesCheckerboard16front_thumb.JPG,PrestigeFranchiseFavoritesCheckerboard16back.JPG,PrestigeFranchiseFavoritesCheckerboard16back.JPG,2015-2016
Basketball 9,Hoops,Tyrese Maxey,Hoops Rookie Sweaters,RSW-TYM,HoopsRookieSweatersRSWTYMfront.JPG,HoopsRookieSweatersRSWTYMfront_thumb.JPG,HoopsRookieSweatersRSWTYMback.JPG,HoopsRookieSweatersRSWTYMback.JPG,2020-2021
Basketball 9,"Innovation ",Paul George,Innovation Memorable Memorabilia,22,InnovationMemorableMemorabilia22front.JPG,InnovationMemorableMemorabilia22front_thumb.JPG,InnovationMemorableMemorabilia22back.JPG,InnovationMemorableMemorabilia22back.JPG,2013-2014
Basketball 9,Upper Deck,Lebron James,Upper Deck LeBron James Box Set,9,UpperDeckLeBronJamesBoxSet9front.JPG,UpperDeckLeBronJamesBoxSet9front_thumb.JPG,UpperDeckLeBronJamesBoxSet9back.JPG,UpperDeckLeBronJamesBoxSet9back.JPG,2003-2004
Basketball 9,Upper Deck Victory,Lebron James,Upper Deck Victory,101,UpperDeckVictory101front.JPG,UpperDeckVictory101front_thumb.JPG,UpperDeckVictory101back.JPG,UpperDeckVictory101back.JPG,2003-2004
Basketball 9,"Innovation ",O.J. Mayo,Innovation Memorable Memorabilia,24,InnovationMemorableMemorabilia24front.JPG,InnovationMemorableMemorabilia24front_thumb.JPG,InnovationMemorableMemorabilia24back.JPG,InnovationMemorableMemorabilia24back.JPG,2013-2014
Basketball 11,Brilliance,DeMarcus Cousins,Panini Brilliance Game Time Jerseys,44,PaniniBrillianceGameTimeJerseys44front.JPG,PaniniBrillianceGameTimeJerseys44front_thumb.JPG,PaniniBrillianceGameTimeJerseys44back.JPG,PaniniBrillianceGameTimeJerseys44back.JPG,2012-2013
Basketball 11,Topps,Frank Thomas,Topps Manufactured Card Patch,MCP-20,ToppsManufacturedCardPatchMCP20front.JPG,ToppsManufacturedCardPatchMCP20front_thumb.JPG,ToppsManufacturedCardPatchMCP20back.JPG,ToppsManufacturedCardPatchMCP20back.JPG,2013-2013
Basketball 9,Donruss,Otis Birdsong,Donruss Signature Series,SG-OBS,DonrussSignatureSeriesSGOBSfront.JPG,DonrussSignatureSeriesSGOBSfront_thumb.JPG,DonrussSignatureSeriesSGOBSback.JPG,DonrussSignatureSeriesSGOBSback.JPG,2020-2021
Basketball 9,"Innovation ",Anthony Mason,Panini Innovation Foundations Ink,79,PaniniInnovationFoundationsInk79front.JPG,PaniniInnovationFoundationsInk79front_thumb.JPG,PaniniInnovationFoundationsInk79back.JPG,PaniniInnovationFoundationsInk79back.JPG,2013-2014
Basketball 10,"Innovation ",C.J. McCollum,Innovation Rookie Jumbo Jerseys,7,InnovationRookieJumboJerseys7front.JPG,InnovationRookieJumboJerseys7front_thumb.JPG,InnovationRookieJumboJerseys7back.JPG,InnovationRookieJumboJerseys7back.JPG,2013-2014
Basketball 10,Signatures,Magic Johnson,Panini Signatures Signatures Film,130,PaniniSignaturesSignaturesFilm130front.JPG,PaniniSignaturesSignaturesFilm130front_thumb.JPG,PaniniSignaturesSignaturesFilm130back.JPG,PaniniSignaturesSignaturesFilm130back.JPG,2012-2013
Basketball 9,"Innovation ",Carmelo Anthony,Innovation Stained Glass,5,InnovationStainedGlass5front.JPG,InnovationStainedGlass5front_thumb.JPG,InnovationStainedGlass5back.JPG,InnovationStainedGlass5back.JPG,2013-2014
Basketball 11,"Innovation ",Kevin Love,Innovation Stat Line Jerseys Prime,11,InnovationStatLineJerseysPrime11front.JPG,InnovationStatLineJerseysPrime11front_thumb.JPG,InnovationStatLineJerseysPrime11back.JPG,InnovationStatLineJerseysPrime11back.JPG,2013-2014
